Game Id, Game Name, Players Online
"No Game", "b'Steam Home'", 2520
"730", "b'Counter-Strike: Global Offensive'", 55
"570", "b'Dota 2'", 19
"578080", "b"PLAYERUNKNOWN'S BATTLEGROUNDS"", 19
"359550", "b"Tom Clancy's Rainbow Six Siege"", 14
"252490", "b'Rust'", 10
"252950", "b'Rocket League'", 10
"230410", "b'Warframe'", 9
"271590", "b'Grand Theft Auto V'", 7
"4000", "b"Garry's Mod"", 6
"550", "b'Left 4 Dead 2'", 5
"238960", "b'Path of Exile'", 4
"10", "b'Counter-Strike'", 4
"440900", "b'Conan Exiles'", 4
"306130", "b'The Elder Scrolls Online'", 4
"218620", "b'PAYDAY 2'", 3
"107410", "b'Arma 3'", 3
"582660", "b'Black Desert Online'", 3
"637650", "b'FINAL FANTASY XV WINDOWS EDITION'", 3
"39210", "b'FINAL FANTASY XIV Online'", 3
"836620", "b'Black Desert Online Turkiye and MENA'", 3
"381210", "b'Dead by Daylight'", 3
"627690", "b'Idle Champions of the Forgotten Realms'", 3
"322330", "b"Don't Starve Together"", 3
"440", "b'Team Fortress 2'", 3
"363970", "b'Clicker Heroes'", 3
"624090", "b'Football Manager 2018'", 3
"646570", "b'Slay the Spire'", 3
"630100", "b'SoulWorker'", 3
"374320", "b'DARK SOULS\xe2\x84\xa2 III'", 3
"222880", "b'Insurgency'", 2
"728730", "b'Holyday City: Reloaded'", 2
"576560", "b'Pain Train'", 2
"685310", "b'Transport Defender'", 2
"706220", "b'Black Desert Online SA'", 2
"365590", "b"Tom Clancy's The Division"", 2
"601510", "b'Yu-Gi-Oh! Duel Links'", 2
"793720", "b'U L T R A _ H A R D C O R E'", 2
"335300", "b'DARK SOULS\xe2\x84\xa2 II: Scholar of the First Sin'", 2
"270880", "b'American Truck Simulator'", 2
"356190", "b'Middle-earth\xe2\x84\xa2: Shadow of War\xe2\x84\xa2'", 2
"346110", "b'ARK: Survival Evolved'", 2
"232090", "b'Killing Floor 2'", 2
"292030", "b'The Witcher 3: Wild Hunt'", 2
"311690", "b'Enter the Gungeon'", 2
"359390", "b'Amnesia\xe2\x84\xa2: Memories'", 2
"359870", "b'FINAL FANTASY X/X-2 HD Remaster'", 2
"304050", "b'Trove'", 2
"735850", "b'Trailer Park Boys: Greasy Money'", 2
"457140", "b'Oxygen Not Included'", 2
"489830", "b'The Elder Scrolls V: Skyrim Special Edition'", 2
"608800", "b'Guns of Icarus Alliance'", 2
"552500", "b'Warhammer: Vermintide 2'", 2
"468330", "b'HIVE'", 2
"310470", "b'Grand Ages: Medieval'", 2
"386180", "b'Crossout'", 2
"22330", "b'The Elder Scrolls IV: Oblivion '", 1
"263280", "b'Spintires'", 1
"603890", "b'Pain Train 2'", 1
"391390", "b'Mayhem Triple'", 1
"388080", "b'Borderless Gaming'", 1
"365450", "b'Hacknet'", 1
"397900", "b'Business Tour - Online Multiplayer Board Game'", 1
"268850", "b'EVGA Precision XOC'", 1
"70", "b'Half-Life'", 1
"394360", "b'Hearts of Iron IV'", 1
"778490", "b'Contagion VR: Outbreak Demo'", 1
"667720", "b'Red Faction Guerrilla Re-Mars-tered'", 1
"601430", "b'The Evil Within 2'", 1
"259080", "b'Just Cause 2: Multiplayer Mod'", 1
"39120", "b'RIFT'", 1
"789760", "b'Dead or School'", 1
"391220", "b'Rise of the Tomb Raider'", 1
"578260", "b'Fluffy'", 1
"99900", "b'Spiral Knights'", 1
"7510", "b'X-Blades'", 1
"698780", "b'Doki Doki Literature Club'", 1
"263060", "b'Blockstorm'", 1
"301640", "b'Zombie Army Trilogy'", 1
"225260", "b'Br\xc3\xbctal Legend'", 1
"366640", "b'Shiness: The Lightning Kingdom'", 1
"439490", "b'BLUE REVOLVER'", 1
"345820", "b"Shantae and the Pirate's Curse"", 1
"105600", "b'Terraria'", 1
"477740", "b'Zero Escape: The Nonary Games'", 1
"330840", "b'Game of Thrones - A Telltale Games Series'", 1
"397950", "b'Clustertruck'", 1
"603780", "b''", 1
"873700", "b'!Dead Pixels Adventure!'", 1
"200210", "b'Realm of the Mad God'", 1
"363930", "b'Dead Age'", 1
"606510", "b'Grisaia Phantom Trigger Vol.1'", 1
"242760", "b'The Forest'", 1
"211420", "b'DARK SOULS\xe2\x84\xa2: Prepare To Die Edition'", 1
"476620", "b'Call of Duty: WWII - Multiplayer'", 1
"377160", "b'Fallout 4'", 1
"427190", "b'Dead Rising'", 1
"524660", "b'RutonyChat'", 1
"389730", "b'TEKKEN 7'", 1
"537340", "b'Guts and Glory'", 1
"418460", "b'Rising Storm 2: Vietnam'", 1
"34330", "b'Total War: SHOGUN 2'", 1
"331360", "b'Heavy Metal Machines'", 1
"16700", "b'Stronghold Crusader Extreme HD'", 1
"250900", "b'The Binding of Isaac: Rebirth'", 1
"431960", "b'Wallpaper Engine'", 1
"774351", "b'Citystate'", 1
